D0=1002A0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10995A A1=4002B4 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33656 -- 033656: move.l  (A0)+, (A1)+
D0=1002A0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10995E A1=4002B8 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33658 -- 033658: move.l  (A0)+, (A1)+
D0=1002A0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109962 A1=4002BC A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365A -- 03365A: move.l  (A0)+, (A1)+
D0=1002A0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=4002C0 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365C -- 03365C: bra     $3363c
D0=1002A0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=4002C0 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363C -- 03363C: move.w  (A0), D0
D0=100016 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=4002C0 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363E -- 03363E: bmi     $3365e
D0=100016 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=4002C0 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33642 -- 033642: lea     $400000.l, A1
D0=100016 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33648 -- 033648: lsl.w   #5, D0
D0=1002C0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364A -- 03364A: adda.w  D0, A1
D0=1002C0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109966 A1=4002C0 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364C -- 03364C: move.l  (A0)+, (A1)+
D0=1002C0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10996A A1=4002C4 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364E -- 03364E: move.l  (A0)+, (A1)+
D0=1002C0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10996E A1=4002C8 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33650 -- 033650: move.l  (A0)+, (A1)+
D0=1002C0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109972 A1=4002CC A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33652 -- 033652: move.l  (A0)+, (A1)+
D0=1002C0 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109976 A1=4002D0 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33654 -- 033654: move.l  (A0)+, (A1)+
